symbol,entry_time_utc,entry_price,effective_entry_price,position_size_usd,zone_weight,exit_time_utc,exit_price,effective_exit_price,pnl_usd,exit_reason
QNT/USDT,2025-06-21 16:00:00,93.670000,93.810505,122.67,5,2025-06-28 11:00:00,106.650000,106.490025,16.58,sell_resistance
XTZ/USDT,2025-06-21 17:00:00,0.508200,0.508962,181.86,8,2025-07-10 17:00:00,0.577700,0.576833,24.25,sell_resistance
DOGE/USDT,2025-06-21 18:00:00,0.157680,0.157917,159.21,6,2025-07-16 14:00:00,0.203690,0.203384,45.84,sell_resistance
SHIB/USDT,2025-06-21 19:00:00,0.000011,0.000011,181.77,12,2025-07-18 01:00:00,0.000015,0.000015,66.21,sell_resistance
DOT/USDT,2025-06-21 21:00:00,3.274000,3.278911,179.74,10,2025-07-19 03:00:00,4.296000,4.289556,55.40,sell_resistance
MKR/USDT,2025-06-21 21:00:00,1754.000000,1756.631000,119.11,7,2025-07-18 05:00:00,2024.300000,2021.263550,17.94,sell_resistance
XRP/USDT,2025-06-22 00:00:00,2.082200,2.085323,100.17,8,2025-06-30 17:00:00,2.213300,2.209980,5.99,sell_resistance
ENJ/USDT,2025-06-22 01:00:00,0.060300,0.060390,177.69,10,2025-10-10 21:00:00,0.039300,0.039241,-62.23,sell_stoploss
BTC/USDT,2025-06-22 13:00:00,100865.660000,101016.958490,61.30,5,2025-06-25 16:00:00,107139.810000,106979.100285,3.62,sell_resistance
NEAR/USDT,2025-06-22 13:00:00,1.851000,1.853777,181.74,9,2025-07-09 19:00:00,2.331000,2.327504,46.44,sell_resistance
AAVE/USDT,2025-06-22 13:00:00,223.580000,223.915370,118.74,5,2025-11-24 18:00:00,177.000000,176.734500,-25.02,sell_resistance
GALA/USDT,2025-06-22 16:00:00,0.011990,0.012008,180.20,19,2025-07-19 03:00:00,0.019070,0.019041,105.55,sell_resistance
EGLD/USDT,2025-06-22 17:00:00,11.890000,11.907835,180.00,7,2025-10-10 21:00:00,9.010000,8.996485,-44.01,sell_stoploss
XLM/USDT,2025-07-01 16:00:00,0.229100,0.229444,142.21,9,2025-07-02 16:00:00,0.238300,0.237943,5.27,sell_resistance
LINK/USDT,2025-07-04 16:00:00,13.050000,13.069575,138.82,6,2025-07-10 04:00:00,14.340000,14.318490,13.27,sell_resistance
ICP/USDT,2025-07-17 09:00:00,5.708000,5.716562,162.51,9,2025-07-21 02:00:00,6.003000,5.993996,7.89,sell_resistance
ICP/USDT,2025-07-22 04:00:00,5.816000,5.824724,162.64,9,2025-07-22 10:00:00,5.962000,5.953057,3.58,sell_resistance
ICP/USDT,2025-07-22 13:00:00,5.892000,5.900838,162.69,9,2025-07-22 14:00:00,6.018000,6.008973,2.98,sell_resistance
ICP/USDT,2025-07-23 12:00:00,5.804000,5.812706,162.74,9,2025-08-13 21:00:00,5.979000,5.970032,4.40,sell_resistance
MKR/USDT,2025-08-01 15:00:00,1882.100000,1884.923150,99.44,8,2025-08-09 04:00:00,2042.100000,2039.036850,8.13,sell_resistance
SNX/USDT,2025-08-02 15:00:00,0.554000,0.554831,178.13,8,2025-08-09 12:00:00,0.669000,0.667997,36.33,sell_resistance
SOL/USDT,2025-08-02 19:00:00,157.440000,157.676160,139.62,8,2025-12-17 14:00:00,132.620000,132.421070,-22.36,sell_resistance
ICP/USDT,2025-08-14 10:00:00,5.855000,5.863783,162.81,9,2025-10-10 21:00:00,2.987000,2.982520,-80.00,sell_stoploss
MKR/USDT,2025-08-15 12:00:00,1854.100000,1856.881150,79.62,8,2025-08-26 14:00:00,1565.600000,1563.251600,-12.59,sell_resistance
CHZ/USDT,2025-08-25 20:00:00,0.037790,0.037847,180.99,10,2025-11-07 01:00:00,0.030840,0.030794,-33.73,sell_resistance
MKR/USDT,2025-08-28 13:00:00,1520.000000,1522.280000,119.27,14,2025-08-31 01:00:00,1576.200000,1573.835700,4.04,sell_resistance
TRX/USDT,2025-09-06 20:00:00,0.322100,0.322583,101.88,7,2025-11-07 17:00:00,0.290300,0.289865,-10.33,sell_resistance
KAVA/USDT,2025-09-15 15:00:00,0.344400,0.344917,160.00,7,2025-10-10 21:00:00,0.172200,0.171942,-80.24,sell_stoploss
QNT/USDT,2025-09-22 06:00:00,92.080000,92.218120,143.35,5,2025-11-06 04:00:00,86.650000,86.520025,-8.86,sell_resistance
UNI/USDT,2025-09-26 06:00:00,7.442000,7.453163,159.99,6,2025-11-07 17:00:00,5.870000,5.861195,-34.17,sell_resistance
FIL/USDT,2025-10-10 03:00:00,2.337000,2.340506,178.87,6,2025-10-10 21:00:00,1.561000,1.558658,-59.75,sell_stoploss
ZIL/USDT,2025-10-10 03:00:00,0.010810,0.010826,179.70,12,2025-10-10 21:00:00,0.007300,0.007289,-58.71,sell_stoploss
ALGO/USDT,2025-10-10 06:00:00,0.220800,0.221131,141.91,7,2025-12-25 06:00:00,0.115900,0.115726,-67.64,sell_resistance
SHIB/USDT,2025-10-10 14:00:00,0.000012,0.000012,162.63,6,2025-11-28 08:00:00,0.000009,0.000009,-40.55,sell_resistance
ATOM/USDT,2025-10-10 14:00:00,4.093000,4.099140,166.92,9,2025-12-28 04:00:00,2.086000,2.082871,-82.10,sell_resistance
XRP/USDT,2025-10-10 15:00:00,2.741700,2.745813,80.18,6,2025-10-25 08:00:00,2.544900,2.541083,-5.98,sell_resistance
VET/USDT,2025-10-10 15:00:00,0.021470,0.021502,185.76,6,2025-12-27 17:00:00,0.011030,0.011013,-90.61,sell_resistance
AXS/USDT,2025-10-10 15:00:00,2.100000,2.103150,178.89,6,2025-10-10 21:00:00,1.478000,1.475783,-53.36,sell_stoploss
ADA/USDT,2025-10-10 19:00:00,0.767400,0.768551,125.11,6,2025-12-09 12:00:00,0.447900,0.447228,-52.31,sell_resistance
GALA/USDT,2025-10-10 19:00:00,0.014420,0.014442,182.10,6,2025-10-10 21:00:00,0.009300,0.009286,-65.01,sell_stoploss
DOT/USDT,2025-10-10 20:00:00,3.702000,3.707553,160.65,7,2025-12-27 17:00:00,1.818000,1.815273,-81.99,sell_resistance
BCH/USDT,2025-10-10 20:00:00,535.800000,536.603700,79.52,5,2025-10-26 09:00:00,523.900000,523.114150,-2.00,sell_resistance
ETC/USDT,2025-10-10 20:00:00,17.250000,17.275875,162.27,10,2025-12-27 23:00:00,12.230000,12.211655,-47.57,sell_resistance
OP/USDT,2025-10-10 20:00:00,0.619800,0.620730,180.00,6,2025-12-09 16:00:00,0.345400,0.344882,-79.99,sell_resistance
XTZ/USDT,2025-10-10 20:00:00,0.612200,0.613118,162.04,14,2025-11-06 15:00:00,0.618100,0.617173,1.07,sell_resistance
CRV/USDT,2025-10-10 20:00:00,0.631600,0.632547,121.59,6,2025-12-09 15:00:00,0.408300,0.407688,-43.22,sell_resistance
MANA/USDT,2025-10-10 21:00:00,0.212800,0.213119,185.84,14,2025-12-31 11:00:00,0.128100,0.127908,-74.31,sell_resistance
ICP/USDT,2025-10-10 22:00:00,2.851000,2.855276,201.92,10,2025-10-10 23:00:00,3.039000,3.034442,12.67,sell_stoploss
ARB/USDT,2025-10-10 23:00:00,0.296200,0.296644,179.92,6,2025-12-09 16:00:00,0.229000,0.228657,-41.24,sell_resistance
AVAX/USDT,2025-10-11 00:00:00,21.230000,21.261845,161.95,6,2025-12-19 16:00:00,12.300000,12.281550,-68.40,sell_resistance
ICP/USDT,2025-10-12 14:00:00,3.311000,3.315967,181.95,13,2025-11-01 09:00:00,3.290000,3.285065,-1.70,sell_resistance
LTC/USDT,2025-10-17 06:00:00,88.580000,88.712870,119.65,6,2025-10-27 15:00:00,102.040000,101.886940,17.77,sell_resistance
NEAR/USDT,2025-10-17 06:00:00,2.148000,2.151222,162.29,5,2025-11-07 09:00:00,2.312000,2.308532,11.87,sell_resistance
BAT/USDT,2025-10-26 01:00:00,0.163000,0.163245,140.74,16,2025-11-01 16:00:00,0.193800,0.193509,26.09,sell_resistance
GALA/USDT,2025-10-30 12:00:00,0.010230,0.010245,160.83,5,2025-12-27 23:00:00,0.006270,0.006261,-62.55,sell_resistance
KAVA/USDT,2025-10-30 13:00:00,0.129400,0.129594,158.72,5,2025-11-07 07:00:00,0.117200,0.117024,-15.39,sell_resistance
ENJ/USDT,2025-10-30 14:00:00,0.040830,0.040891,176.57,5,2025-11-07 20:00:00,0.047050,0.046979,26.29,sell_resistance
SAND/USDT,2025-10-30 19:00:00,0.190400,0.190686,160.00,5,2025-12-27 23:00:00,0.115900,0.115726,-62.90,sell_resistance
ICP/USDT,2025-11-01 10:00:00,3.403000,3.408105,161.71,13,2025-11-04 04:00:00,5.200000,5.192200,84.65,sell_resistance
BCH/USDT,2025-11-03 13:00:00,520.700000,521.481050,79.51,13,2025-11-18 19:00:00,530.200000,529.404700,1.21,sell_resistance
XLM/USDT,2025-11-03 14:00:00,0.293500,0.293940,121.96,5,2025-11-23 13:00:00,0.242300,0.241937,-21.58,sell_resistance
DOGE/USDT,2025-11-03 15:00:00,0.167010,0.167261,159.94,5,2025-12-19 19:00:00,0.132880,0.132681,-33.07,sell_resistance
BTC/USDT,2025-11-04 16:00:00,102257.700000,102411.086550,102.19,5,2025-11-26 18:00:00,90145.690000,90010.471465,-12.37,sell_resistance
ETH/USDT,2025-11-04 17:00:00,3373.330000,3378.389995,100.41,5,2025-11-27 01:00:00,3052.600000,3048.021100,-9.82,sell_resistance
ICP/USDT,2025-11-06 00:00:00,5.860000,5.868790,142.68,9,2025-11-06 04:00:00,6.016000,6.006976,3.36,sell_resistance
BAT/USDT,2025-11-13 18:00:00,0.180600,0.180871,141.10,6,2025-11-26 20:00:00,0.222600,0.222266,32.29,sell_resistance
TRX/USDT,2025-11-13 19:00:00,0.291600,0.292037,122.14,19,2025-11-27 15:00:00,0.278400,0.277982,-5.88,sell_resistance
ICP/USDT,2025-11-13 19:00:00,5.781000,5.789671,142.73,9,2025-12-20 20:00:00,3.121000,3.116319,-65.90,sell_resistance
XRP/USDT,2025-11-19 16:00:00,2.079900,2.083020,100.17,8,2025-11-24 17:00:00,2.206300,2.202991,5.77,sell_resistance
LINK/USDT,2025-11-20 18:00:00,12.890000,12.909335,139.01,7,2025-11-24 17:00:00,13.130000,13.110305,2.16,sell_resistance
BNB/USDT,2025-11-21 02:00:00,858.150000,859.437225,120.00,9,2025-11-24 20:00:00,873.360000,872.049960,1.76,sell_resistance
LTC/USDT,2025-11-21 07:00:00,84.620000,84.746930,119.86,14,2025-12-02 15:00:00,82.460000,82.336310,-3.41,sell_resistance
SNX/USDT,2025-11-21 07:00:00,0.606000,0.606909,178.79,6,2025-12-09 16:00:00,0.525000,0.524213,-24.36,sell_resistance
ENJ/USDT,2025-11-21 07:00:00,0.032770,0.032819,177.04,11,2025-12-09 04:00:00,0.034000,0.033949,6.10,sell_resistance
QNT/USDT,2025-11-21 09:00:00,72.590000,72.698885,163.68,10,2025-11-25 12:00:00,84.490000,84.363265,26.26,sell_resistance
XTZ/USDT,2025-11-21 09:00:00,0.489300,0.490034,182.32,13,2025-12-02 15:00:00,0.491400,0.490663,0.23,sell_resistance
LDO/USDT,2025-11-21 12:00:00,0.619700,0.620630,167.62,14,2025-12-19 19:00:00,0.558600,0.557762,-16.98,sell_resistance
DYDX/USDT,2025-11-21 12:00:00,0.245200,0.245568,177.78,5,2025-12-25 15:00:00,0.170600,0.170344,-54.46,sell_resistance
BCH/USDT,2025-11-25 07:00:00,526.700000,527.490050,79.52,13,2025-11-30 13:00:00,558.400000,557.562400,4.53,sell_resistance
UNI/USDT,2025-11-25 15:00:00,5.924000,5.932886,159.44,22,2025-12-02 15:00:00,5.985000,5.976023,1.16,sell_resistance
EGLD/USDT,2025-11-30 01:00:00,7.120000,7.130680,179.21,6,2025-12-05 10:00:00,8.210000,8.197685,26.82,sell_resistance
ZIL/USDT,2025-11-30 11:00:00,0.005670,0.005679,178.65,5,2025-12-25 03:00:00,0.004660,0.004653,-32.26,sell_resistance
BTC/USDT,2025-12-01 00:00:00,87000.000000,87130.500000,142.90,9,2025-12-02 14:00:00,89271.990000,89138.082015,3.29,sell_resistance
BNB/USDT,2025-12-01 00:00:00,834.500000,835.751750,120.02,21,2025-12-02 15:00:00,871.400000,870.092900,4.93,sell_resistance
XRP/USDT,2025-12-01 00:00:00,2.057600,2.060686,120.27,8,2025-12-20 09:00:00,1.949200,1.946276,-6.68,sell_resistance
LINK/USDT,2025-12-01 00:00:00,12.260000,12.278390,158.90,15,2025-12-02 14:00:00,12.710000,12.690935,5.34,sell_resistance
TRX/USDT,2025-12-01 00:00:00,0.277300,0.277716,122.07,32,2025-12-02 15:00:00,0.282300,0.281877,1.83,sell_resistance
SHIB/USDT,2025-12-01 00:00:00,0.000008,0.000008,182.23,5,2025-12-02 15:00:00,0.000009,0.000009,12.22,sell_resistance
NEAR/USDT,2025-12-01 00:00:00,1.701000,1.703552,182.79,5,2025-12-18 16:00:00,1.593000,1.590611,-12.12,sell_resistance
AAVE/USDT,2025-12-01 00:00:00,169.060000,169.313590,138.17,7,2025-12-02 15:00:00,184.070000,183.793895,11.82,sell_resistance
GRT/USDT,2025-12-01 00:00:00,0.046770,0.046840,178.78,5,2025-12-22 09:00:00,0.038310,0.038253,-32.78,sell_resistance
ETH/USDT,2025-12-01 03:00:00,2825.770000,2830.008655,120.38,8,2025-12-02 14:00:00,2894.980000,2890.637530,2.58,sell_resistance
BTC/USDT,2025-12-05 16:00:00,88810.890000,88944.106335,122.52,36,2025-12-17 14:00:00,89675.850000,89541.336225,0.82,sell_resistance
UNI/USDT,2025-12-05 16:00:00,5.555000,5.563333,159.46,6,2025-12-09 16:00:00,5.918000,5.909123,9.91,sell_resistance
XLM/USDT,2025-12-05 16:00:00,0.243700,0.244066,162.27,7,2025-12-22 12:00:00,0.223500,0.223165,-13.90,sell_resistance
XTZ/USDT,2025-12-05 16:00:00,0.472400,0.473109,182.32,7,2025-12-08 20:00:00,0.495600,0.494857,8.38,sell_resistance
ETH/USDT,2025-12-07 14:00:00,2942.650000,2947.063975,120.41,49,2025-12-09 18:00:00,3376.060000,3370.995910,17.32,sell_resistance
LINK/USDT,2025-12-07 14:00:00,13.240000,13.259860,139.12,6,2025-12-27 23:00:00,12.520000,12.501220,-7.96,sell_resistance
KAVA/USDT,2025-12-08 03:00:00,0.104600,0.104757,158.47,5,2026-01-01 00:00:00,0.075200,,-44.88,end_of_data
TRX/USDT,2025-12-08 23:00:00,0.281400,0.281822,122.09,32,2025-12-15 00:00:00,0.278300,0.277883,-1.71,sell_resistance
BNB/USDT,2025-12-11 02:00:00,866.990000,868.290485,120.08,9,2025-12-28 15:00:00,860.580000,859.289130,-1.24,sell_resistance
ENJ/USDT,2025-12-11 04:00:00,0.032110,0.032158,177.15,11,2025-12-25 03:00:00,0.027760,0.027718,-24.46,sell_resistance
QNT/USDT,2025-12-11 09:00:00,83.000000,83.124500,143.59,6,2025-12-20 21:00:00,76.090000,75.975865,-12.35,sell_resistance
ADA/USDT,2025-12-12 16:00:00,0.404800,0.405407,165.98,17,2025-12-22 14:00:00,0.377600,0.377034,-11.62,sell_resistance
SHIB/USDT,2025-12-12 16:00:00,0.000008,0.000008,182.45,5,2025-12-27 23:00:00,0.000007,0.000007,-16.51,sell_resistance
ARB/USDT,2025-12-12 16:00:00,0.199700,0.200000,179.18,7,2025-12-13 20:00:00,0.217100,0.216774,15.03,sell_resistance
